model,model_short,arm,metric,n,estimate_log1p,estimate,ci_low,ci_high,study_variance,task_variance,residual_variance
deepseek/deepseek-v4-flash-0731,V4,caveman_ponytail,tool_calls,9,3.3429509177697945,27.30252201368364,18.185526072696202,40.751930559518684,0.056234132519034905,0.0001,0.1
deepseek/deepseek-v4.1-flash-20260910,V4.1,baseline,tool_calls,9,3.8445213458697123,45.736308469102134,34.46386205585493,60.59178393709244,0.0001,0.0001,0.1778279410038923
deepseek/deepseek-v4.1-flash-20260910,V4.1,caveman,tool_calls,10,4.065163645417057,57.27444408801144,22.51611025841607,143.40784621476348,0.31622776601683794,0.0001,0.5623413251903491
deepseek/deepseek-v4.1-flash-20260910,V4.1,ponytail,tool_calls,10,4.105216293236774,59.65586258173095,28.89557357281288,122.06616752386526,0.0001,0.5623413251903491,0.1778279410038923
deepseek/deepseek-v4.1-flash-20260910,V4.1,caveman_ponytail,tool_calls,9,4.434728896850341,83.32925986108351,39.23371610605308,175.752852010313,0.01778279410038923,0.5623413251903491,0.1778279410038923
deepseek/deepseek-v4-flash-0731,V4,baseline,cost_usd,8,0.020588830015020463,0.020802242094352302,0.0025627304734497426,0.03937358311012169,0.0001,0.0001,0.0001
deepseek/deepseek-v4-flash-0731,V4,caveman,cost_usd,10,0.016785655840101374,0.016927326529529597,-0.0007448395726832817,0.034912030877339975,0.0001,0.0001,0.0001
deepseek/deepseek-v4-flash-0731,V4,ponytail,cost_usd,10,0.010822118642916592,0.010880889586248001,-0.006686201516797642,0.028758660647927002,0.0001,0.0001,0.0001
deepseek/deepseek-v4-flash-0731,V4,caveman_ponytail,cost_usd,9,0.013560119187583547,0.013652474581676125,-0.004160070706001095,0.03178363208833767,0.0001,0.0001,0.0001
deepseek/deepseek-v4.1-flash-20260910,V4.1,baseline,cost_usd,9,0.01518246921353424,0.015298308398397435,-0.002543158526755621,0.0334589048626002,0.0001,0.0001,0.0001
deepseek/deepseek-v4.1-flash-20260910,V4.1,caveman,cost_usd,10,0.032016734375574424,0.03253478398541292,0.0011620072170994706,0.06489066949642659,0.0001,0.0001,0.0017782794100389228
deepseek/deepseek-v4.1-flash-20260910,V4.1,ponytail,cost_usd,10,0.04146112311979131,0.042332638422644744,-0.011478425655556752,0.09907295634049927,0.00017782794100389227,0.0031622776601683794,0.0001
deepseek/deepseek-v4.1-flash-20260910,V4.1,caveman_ponytail,cost_usd,9,0.04460142844065967,0.04561102602806275,0.0028194030909016368,0.09022862379972775,0.0001,0.001,0.0017782794100389228
deepseek/deepseek-v4-flash-0731,V4,baseline,wall_seconds,8,5.162931710595994,173.67580458241076,102.85590304289272,292.78817970425024,0.0001,0.0001,0.5623413251903491
deepseek/deepseek-v4-flash-0731,V4,caveman,wall_seconds,10,5.197440179344107,179.80881084927506,133.79840928376882,241.52382690887868,0.01778279410038923,0.01778279410038923,0.1
deepseek/deepseek-v4-flash-0731,V4,ponytail,wall_seconds,10,4.77854884309196,117.93163629215549,74.61315524896942,186.06710577750087,0.0001,0.1778279410038923,0.1778279410038923
deepseek/deepseek-v4-flash-0731,V4,caveman_ponytail,wall_seconds,9,4.813331400857408,122.1411675419717,80.57805492613289,184.88022425063184,0.01778279410038923,0.0001,0.31622776601683794
deepseek/deepseek-v4.1-flash-20260910,V4.1,baseline,wall_seconds,9,5.22406730024559,184.6878986757174,78.02739796531267,435.30432738956836,0.31622776601683794,0.1,0.1
deepseek/deepseek-v4.1-flash-20260910,V4.1,caveman,wall_seconds,10,5.526688348092987,250.31027927069456,156.84442688003227,399.12091472267235,0.0001,0.0001,0.5623413251903491
deepseek/deepseek-v4.1-flash-20260910,V4.1,ponytail,wall_seconds,10,5.705224113412204,299.43280352500994,125.68847526527209,711.4552509208334,0.1,0.5623413251903491,0.31622776601683794
deepseek/deepseek-v4.1-flash-20260910,V4.1,caveman_ponytail,wall_seconds,9,5.822481735826349,336.8093678145959,156.0263862752957,725.7260725419253,0.056234132519034905,0.5623413251903491,0.1
