arm,task,repeat,run_index,valid,resolved,evaluation_completed,patch_nonempty,completed,exit_code,wall_seconds,evaluation_seconds,repo,difficulty,model,api_provider,upstream_provider,session_id,input_tokens,output_tokens,reasoning_tokens,cache_read_tokens,cache_write_tokens,total_tokens,api_calls,estimated_cost_usd,actual_cost_usd,cost_usd,cost_source,tool_calls,files_changed,diff_lines,run_dir,error,api_wait_seconds,tool_execution_seconds,terminal_execution_seconds,unattributed_wall_seconds,api_duration_mean_seconds,api_duration_p95_seconds,ttft_mean_seconds,timing_event_count,skill_lifecycle_event_count,trace_exported,study_id,study_label,study_date,study_source_path,source_run_path,source_run_id,model_short,treatment_label
baseline,django__django-13516,1,11,True,True,True,True,True,0,351.023509335937,22.152675995137542,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260920_234028_047f4d,32013,8199,0,1278208,0,1318420,60,0.013555974,,0.013555974,hermes_estimate,63,2,4,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/11__v4-1-flash__baseline__django__django-13516__r1,,335.136750459671,3.364,3.117,12.522758876265957,5.585612507661184,17.370329916477196,2.2106440941492718,250,0,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/11__v4-1-flash__baseline__django__django-13516__r1,11__v4-1-flash__baseline__django__django-13516__r1,V4.1,Baseline
caveman_ponytail,django__django-15731,1,12,True,True,True,True,True,0,92.61918920301832,21.892870979150757,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260920_234659_2ee21e,22787,4065,0,496640,0,523492,27,0.009508119999999998,,0.009508119999999998,hermes_estimate,29,1,4,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/12__v4-flash-0731__caveman_ponytail__django__django-15731__r1,,78.4418158531189,2.218,2.033,11.959373349899426,2.9052524390044034,5.035508394241332,1.4804353007563837,117,1,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/12__v4-flash-0731__caveman_ponytail__django__django-15731__r1,12__v4-flash-0731__caveman_ponytail__django__django-15731__r1,V4,Caveman + Ponytail
caveman_ponytail,django__django-7530,1,13,True,True,True,True,True,0,1375.8059039369691,22.96639210288413,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260920_234912_642e85,161593,31520,0,7889152,0,8082265,155,0.06681840600000002,,0.06681840600000002,hermes_estimate,157,1,11,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/13__v4-1-flash__caveman_ponytail__django__django-7530__r1,,1322.8407323360443,38.418,37.384,14.547171600924806,8.534456337651898,26.96752023696899,2.4746150001402825,637,1,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/13__v4-1-flash__caveman_ponytail__django__django-7530__r1,13__v4-1-flash__caveman_ponytail__django__django-7530__r1,V4.1,Caveman + Ponytail
caveman_ponytail,django__django-13516,1,14,True,True,True,True,True,0,81.37624710216187,22.57450272794813,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260921_001249_0741ae,70588,3860,0,532992,0,607440,22,0.011968992,,0.011968992,hermes_estimate,23,1,4,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/14__v4-flash-0731__caveman_ponytail__django__django-13516__r1,,61.96727228164673,7.791,4.0969999999999995,11.61797482051514,2.8166941946203057,7.559020769596098,0.9874134388836947,95,1,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/14__v4-flash-0731__caveman_ponytail__django__django-13516__r1,14__v4-flash-0731__caveman_ponytail__django__django-13516__r1,V4,Caveman + Ponytail
caveman,django__django-7530,1,15,True,True,True,True,True,0,204.6331975350622,22.232627711025998,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260921_001453_c8fda3,130657,6972,0,650752,0,788381,35,0.016753832,,0.016753832,hermes_estimate,36,1,2,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/15__v4-flash-0731__caveman__django__django-7530__r1,,191.28709077835083,1.551,1.387,11.795106756711379,5.465345450810024,14.197444224357579,2.0399844442095074,147,1,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/15__v4-flash-0731__caveman__django__django-7530__r1,15__v4-flash-0731__caveman__django__django-7530__r1,V4,Caveman
baseline,django__django-7530,1,16,True,True,True,True,True,0,181.5058207900729,22.10582622187212,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260921_001857_799c8e,53612,13762,0,1417984,0,1485358,51,0.027034144000000006,,0.027034144000000006,hermes_estimate,54,1,2,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/16__v4-flash-0731__baseline__django__django-7530__r1,,164.1314079761505,4.591,4.22,12.78341281392239,3.2182629014931474,6.8558666706085205,0.8867844506806019,214,0,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/16__v4-flash-0731__baseline__django__django-7530__r1,16__v4-flash-0731__baseline__django__django-7530__r1,V4,Baseline
ponytail,django__django-13516,1,17,True,True,True,True,True,0,81.05407481989823,22.23152983817272,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260921_002239_043bcf,12595,5694,0,462080,0,480369,27,0.00880812,,0.00880812,hermes_estimate,26,1,4,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/17__v4-flash-0731__ponytail__django__django-13516__r1,,67.8615415096283,1.377,1.359,11.815533310269936,2.5133904262825295,6.716152262687681,0.7153054166723181,110,0,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/17__v4-flash-0731__ponytail__django__django-13516__r1,17__v4-flash-0731__ponytail__django__django-13516__r1,V4,Ponytail
ponytail,django__django-15731,1,18,True,True,True,True,True,0,52.14712173794396,22.04491224884987,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260921_002440_413532,10404,2782,0,265472,0,278658,17,0.005108831999999999,,0.005108831999999999,hermes_estimate,16,1,5,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/18__v4-flash-0731__ponytail__django__django-15731__r1,,39.50951170921326,1.161,1.022,11.476610028730706,2.324088924071368,3.7253308296203604,0.8703030558193431,70,0,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/18__v4-flash-0731__ponytail__django__django-15731__r1,18__v4-flash-0731__ponytail__django__django-15731__r1,V4,Ponytail
caveman,pytest-dev__pytest-7571,1,19,True,True,True,True,True,0,145.0619266279973,21.02286196220666,pytest-dev/pytest,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260921_002612_eb0dbd,32261,7687,0,1080064,0,1120012,44,0.019801383999999995,,0.019801383999999995,hermes_estimate,44,1,8,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/19__v4-flash-0731__caveman__pytest-dev__pytest-7571__r1,,121.12300896644592,11.78,11.588000000000001,12.158917661551387,2.7527956583283166,5.885810542106629,0.9668814919211648,181,1,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/19__v4-flash-0731__caveman__pytest-dev__pytest-7571__r1,19__v4-flash-0731__caveman__pytest-dev__pytest-7571__r1,V4,Caveman
ponytail,django__django-16662,1,20,True,True,True,True,True,0,419.6840110782068,21.575706042116508,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260921_002917_c0e5dc,94688,7942,0,1561856,0,1664486,61,0.023653967999999997,,0.023653967999999997,hermes_estimate,64,2,9,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/20__v4-1-flash__ponytail__django__django-16662__r1,,394.1323788166046,12.678,12.17,12.873632261602207,6.461186537977125,15.186505556106567,2.8190250943918698,260,0,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/20__v4-1-flash__ponytail__django__django-16662__r1,20__v4-1-flash__ponytail__django__django-16662__r1,V4.1,Ponytail
ponytail,pytest-dev__pytest-7571,1,21,True,True,True,True,True,0,363.299656949006,21.076957824872807,pytest-dev/pytest,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260921_003654_515121,113791,5956,0,1185536,0,1305283,46,0.024198858,,0.024198858,hermes_estimate,46,2,4,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/21__v4-1-flash__ponytail__pytest-dev__pytest-7571__r1,,308.3714692592621,42.357,42.198,12.571187689743937,6.703727592592654,15.62773483991623,2.985716648723768,192,0,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/21__v4-1-flash__ponytail__pytest-dev__pytest-7571__r1,21__v4-1-flash__ponytail__pytest-dev__pytest-7571__r1,V4.1,Ponytail
ponytail,django__django-16662,1,22,True,False,False,False,True,0,61.62721059191972,0.0,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260921_004337_462349,21730,3215,0,369920,0,394865,23,0.00730232,,0.00730232,hermes_estimate,23,0,0,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/22__v4-flash-0731__ponytail__django__django-16662__r1,empty patch,47.91327619552612,1.949,1.6,11.764934396393597,2.0831859215446142,4.052984261512755,0.8800753406856371,96,0,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/22__v4-flash-0731__ponytail__django__django-16662__r1,22__v4-flash-0731__ponytail__django__django-16662__r1,V4,Ponytail
baseline,django__django-16662,1,23,False,True,True,True,True,0,200.63880177307874,21.54257242800668,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260921_004457_ea4949,23083,13449,2,1330176,0,1366708,53,0.02435797600000001,,0.02435797600000001,hermes_estimate,52,1,8,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/23__v4-flash-0731__baseline__django__django-16662__r1,reasoning was requested off but 2 reasoning tokens were reported,173.42167210578918,15.116,15.078000000000001,12.101129667289555,3.2721070208639467,8.084754467010494,0.8996168757384678,214,0,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/23__v4-flash-0731__baseline__django__django-16662__r1,23__v4-flash-0731__baseline__django__django-16662__r1,V4,Baseline
baseline,django__django-13516,1,24,False,True,True,True,True,0,127.87810338404961,22.61540825595148,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260921_004859_21343e,25606,8569,3,594944,0,629119,31,0.011914383999999998,,0.011914383999999998,hermes_estimate,30,1,3,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/24__v4-flash-0731__baseline__django__django-13516__r1,reasoning was requested off but 3 reasoning tokens were reported,114.75729417800903,1.157,1.029,11.963809206040576,3.701848199290614,8.009467482566833,0.9956806936571675,126,0,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/24__v4-flash-0731__baseline__django__django-13516__r1,24__v4-flash-0731__baseline__django__django-13516__r1,V4,Baseline
baseline,pytest-dev__pytest-7571,1,25,True,True,True,True,True,0,139.62131900992244,21.38241202197969,pytest-dev/pytest,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260921_005147_a9c07c,25004,7552,0,926208,0,958764,38,0.017027808,,0.017027808,hermes_estimate,40,1,6,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/25__v4-flash-0731__baseline__pytest-dev__pytest-7571__r1,,119.69860529899597,7.384,6.991,12.538713710926473,3.149963297341999,7.8215070009231535,0.8659701347351074,160,0,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/25__v4-flash-0731__baseline__pytest-dev__pytest-7571__r1,25__v4-flash-0731__baseline__pytest-dev__pytest-7571__r1,V4,Baseline
caveman,django__django-15731,1,26,True,True,True,True,True,0,180.1717256119009,21.84775310009718,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260921_005446_e0b3af,28834,4181,0,695040,0,728055,34,0.008918819999999997,,0.008918819999999997,hermes_estimate,39,1,4,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/26__v4-1-flash__caveman__django__django-15731__r1,,155.3680624961853,12.281,12.081999999999999,12.522663115715607,4.569648896946626,9.619262266159053,1.9541216948453117,151,1,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/26__v4-1-flash__caveman__django__django-15731__r1,26__v4-1-flash__caveman__django__django-15731__r1,V4.1,Caveman
caveman_ponytail,django__django-13516,1,27,True,True,True,True,True,0,458.2712706080638,22.315065359929577,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260921_005826_8a8192,127658,8772,0,1532928,0,1669358,63,0.029010684000000005,,0.029010684000000005,hermes_estimate,66,1,4,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/27__v4-1-flash__caveman_ponytail__django__django-13516__r1,,359.45782947540283,85.78,8.119,13.033441132660954,5.705679832942902,15.167072534561157,2.3184780733925954,264,0,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/27__v4-1-flash__caveman_ponytail__django__django-13516__r1,27__v4-1-flash__caveman_ponytail__django__django-13516__r1,V4.1,Caveman + Ponytail
caveman,django__django-16662,1,28,True,True,True,True,True,0,250.96125481184572,21.460837457096204,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260921_010645_6d04a3,91774,3944,0,622336,0,718054,32,0.035999016,,0.035999016,hermes_estimate,34,1,5,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/28__v4-1-flash__caveman__django__django-16662__r1,,231.65346264839172,7.429,7.272,11.878792163453996,7.239170707762241,20.14620860815048,2.2427773773670197,139,1,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/28__v4-1-flash__caveman__django__django-16662__r1,28__v4-1-flash__caveman__django__django-16662__r1,V4.1,Caveman
caveman,django__django-16662,1,29,True,True,True,True,True,0,187.76860410999507,21.580646021058783,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260921_011137_070436,34329,11184,0,1269760,0,1315273,53,0.02347876,,0.02347876,hermes_estimate,54,1,6,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/29__v4-flash-0731__caveman__django__django-16662__r1,,170.36728310585022,4.58,4.377,12.821321004144847,3.214477039733023,6.948491954803465,1.0467006710340392,219,1,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/29__v4-flash-0731__caveman__django__django-16662__r1,29__v4-flash-0731__caveman__django__django-16662__r1,V4,Caveman
ponytail,django__django-7530,1,30,True,True,True,True,True,0,1111.5379938299302,22.069080628920346,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260921_011524_6f9698,222170,33261,0,12278016,0,12533447,185,0.18023229600000007,,0.18023229600000007,hermes_estimate,190,1,6,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/30__v4-1-flash__ponytail__django__django-7530__r1,,1013.9697318077087,82.086,81.55,15.482262022221462,5.480917469230858,10.515890073776232,2.24091549950677,760,0,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/30__v4-1-flash__ponytail__django__django-7530__r1,30__v4-1-flash__ponytail__django__django-7530__r1,V4.1,Ponytail
caveman,django__django-13516,1,31,True,True,True,True,True,0,108.359734646976,22.283084218157455,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260921_013435_5e1c5e,23101,6080,0,539648,0,568829,30,0.010531208000000002,,0.010531208000000002,hermes_estimate,30,1,4,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/31__v4-flash-0731__caveman__django__django-13516__r1,,95.48967170715332,1.277,1.242,11.593062939822675,3.1829890569051105,4.756611669063565,0.8443665266036987,125,1,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/31__v4-flash-0731__caveman__django__django-13516__r1,31__v4-flash-0731__caveman__django__django-13516__r1,V4,Caveman
caveman_ponytail,django__django-16662,1,32,True,True,True,True,True,0,175.8992023251485,21.325589054031298,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260921_013704_b26a6a,26087,4140,0,604928,0,635155,31,0.016423668000000002,,0.016423668000000002,hermes_estimate,32,1,9,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/32__v4-1-flash__caveman_ponytail__django__django-16662__r1,,160.06287264823914,3.1229999999999998,2.958,12.713329676909373,5.1633184725238435,10.613802194595337,2.3725809128053728,131,1,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/32__v4-1-flash__caveman_ponytail__django__django-16662__r1,32__v4-1-flash__caveman_ponytail__django__django-16662__r1,V4.1,Caveman + Ponytail
