arm,task,repeat,run_index,valid,resolved,evaluation_completed,patch_nonempty,completed,exit_code,wall_seconds,evaluation_seconds,repo,difficulty,model,api_provider,upstream_provider,session_id,input_tokens,output_tokens,reasoning_tokens,cache_read_tokens,cache_write_tokens,total_tokens,api_calls,estimated_cost_usd,actual_cost_usd,cost_usd,cost_source,tool_calls,files_changed,diff_lines,run_dir,error,base_arm,budget_warning_ratio,api_wait_seconds,tool_execution_seconds,terminal_execution_seconds,unattributed_wall_seconds,api_duration_mean_seconds,api_duration_p95_seconds,ttft_mean_seconds,timing_event_count,skill_lifecycle_event_count,trace_exported
ponytail__warning_0p1,pytest-dev__pytest-7571,1,12,True,True,True,True,True,0,123.67985835717991,22.034144701901823,pytest-dev/pytest,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_190030_2062ed,27250,3382,0,544000,0,574632,26,0.006016191999999999,,0.006016191999999999,hermes_estimate,27,1,6,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/12__v4-1-flash__ponytail__pytest-dev__pytest-7571__r1,,ponytail,0.1,78.43473672866821,32.555,11.306,12.690121628511697,3.016720643410316,4.415869832038879,1.8698253631591797,110,0,True
ponytail__warning_0p05,pytest-dev__pytest-7571,1,13,True,True,True,True,True,0,211.47170135797933,21.897494529141113,pytest-dev/pytest,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_190314_1efeb0,24623,5135,0,1279488,0,1309246,45,0.008782215680000002,,0.008782215680000002,hermes_estimate,46,1,5,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/13__v4-1-flash__ponytail__pytest-dev__pytest-7571__r1,,ponytail,0.05,151.5824236869812,46.502,46.359,13.387277670998124,3.3684983041551377,7.672248458862302,2.2730320029788547,186,0,True
baseline__warning_0p1,django__django-15731,1,14,True,True,True,True,True,0,195.0152571820654,23.734274462796748,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_190726_5b6db9,28044,9456,0,853248,0,890748,38,0.020825568000000006,,0.020825568000000006,hermes_estimate,37,1,4,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/14__v4-flash-0731__baseline__django__django-15731__r1,,baseline,0.1,173.0524275302887,9.161999999999999,9.054,12.800829651776702,4.554011250797071,9.13295452594757,1.1171385990945917,154,0,True
ponytail__warning_0p1,django__django-7530,1,15,True,True,True,True,True,0,610.0863909102045,24.238456638995558,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_191124_8496f0,59736,20495,0,4783616,0,4863847,125,0.029649701760000004,,0.029649701760000004,hermes_estimate,126,1,2,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/15__v4-1-flash__ponytail__django__django-7530__r1,,ponytail,0.1,569.9764432907104,25.403,23.809,14.706947619494052,4.559811546325683,12.200829982757568,2.3697614574432375,506,0,True
ponytail,django__django-7530,1,16,True,True,True,True,True,0,242.56013431795873,24.269056079909205,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_192219_e4dc90,59156,14235,0,2774528,0,2847919,75,0.020730846079999993,,0.020730846079999993,hermes_estimate,79,1,9,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/16__v4-1-flash__ponytail__django__django-7530__r1,,ponytail,,210.04539442062378,18.47,18.328,14.04473989733495,2.8006052589416504,4.959523463249205,1.91715518951416,312,0,True
ponytail__warning_0p05,django__django-15731,1,17,True,True,True,True,True,0,172.69638689188287,24.122840735828504,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_192705_715c14,48801,5283,0,567040,0,621124,32,0.014405800000000003,,0.014405800000000003,hermes_estimate,31,1,4,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/17__v4-flash-0731__ponytail__django__django-15731__r1,,ponytail,0.05,157.01421236991882,3.01,2.8609999999999998,12.672174521964044,4.906694136559963,9.239802682399748,1.9760840088129044,128,0,True
baseline__warning_0p1,django__django-7530,1,18,True,True,True,True,True,0,1566.492013439769,23.72615334112197,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_193040_488191,158202,64090,0,31470848,0,31693140,347,0.14499491328000003,,0.14499491328000003,hermes_estimate,353,1,5,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/18__v4-1-flash__baseline__django__django-7530__r1,,baseline,0.1,1319.1674721240997,227.072,186.875,20.25254131566919,3.8016353663518725,7.828331875801081,2.4989312512730315,1404,0,True
baseline__warning_0p1,django__django-16662,1,19,True,True,True,True,True,0,115.03973650396802,23.119602140039206,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_195729_2c3bd5,38918,3909,0,257280,0,300107,18,0.00817496,,0.00817496,hermes_estimate,19,1,4,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/19__v4-flash-0731__baseline__django__django-16662__r1,,baseline,0.1,101.54468894004822,1.668,1.569,11.827047563919798,5.6413716077804565,12.030632257461548,1.5533138116200764,78,0,True
ponytail,django__django-16662,1,20,True,True,True,True,True,0,173.87210498587228,22.790840891888365,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_200007_df43d1,27738,10658,0,1067776,0,1106172,49,0.025015055999999997,,0.025015055999999997,hermes_estimate,48,1,4,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/20__v4-flash-0731__ponytail__django__django-16662__r1,,ponytail,,151.83259797096252,9.519,9.426,12.520507014909759,3.0986244483869902,6.026872587203979,1.2420285867185008,198,0,True
baseline,django__django-15731,1,21,True,True,True,True,True,0,85.77814276400022,23.228956680977717,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_200342_6e1c8e,19524,3133,0,324864,0,347521,21,0.004330919040000001,,0.004330919040000001,hermes_estimate,23,1,4,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/21__v4-1-flash__baseline__django__django-15731__r1,,baseline,,57.876312494277954,15.717,15.635,12.184830269722267,2.7560148806799027,4.1570422649383545,1.429813680194673,92,0,True
ponytail__warning_0p05,django__django-13516,1,22,True,True,True,True,True,0,216.02323701488785,23.81434487993829,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_200549_212580,35522,5996,0,997888,0,1039406,43,0.00934602368,,0.00934602368,hermes_estimate,47,1,4,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/22__v4-1-flash__ponytail__django__django-13516__r1,,ponytail,0.05,186.16517639160156,17.659,17.447,12.199060623286293,4.329422706781432,10.310607075691223,2.1720945724221163,184,0,True
ponytail,pytest-dev__pytest-7571,1,23,True,True,True,True,True,0,499.53230287204497,22.177882046904415,pytest-dev/pytest,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_201008_b3dc70,97506,28033,0,10201344,0,10326883,148,0.05461627583999999,,0.05461627583999999,hermes_estimate,156,1,14,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/23__v4-1-flash__ponytail__pytest-dev__pytest-7571__r1,,ponytail,,454.624977350235,29.278000000000002,28.645,15.629325521809978,3.0717903875015877,6.073101902008058,1.9903971891145449,612,0,True
baseline,django__django-13516,1,24,True,True,True,True,True,0,254.84615454799496,23.442765180952847,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_201910_d042f1,45500,7281,0,575744,0,628525,34,0.015691744,,0.015691744,hermes_estimate,33,1,4,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/24__v4-flash-0731__baseline__django__django-13516__r1,,baseline,,236.5582311153412,5.465,5.27,12.82292343265377,6.957595032804153,18.599964725971212,1.5677217455471264,138,0,True
ponytail__warning_0p05,django__django-7530,1,25,True,False,True,True,True,0,696.7846543020569,24.97744983411394,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_202406_f8b687,74650,26554,0,7121152,0,7222356,150,0.04121001472,,0.04121001472,hermes_estimate,150,6,82,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/25__v4-1-flash__ponytail__django__django-7530__r1,,ponytail,0.05,648.5525803565979,33.851,33.04,14.38107394545898,4.323683869043986,9.920445787906639,2.14035440603892,603,0,True
ponytail,django__django-15731,1,26,True,True,True,True,True,0,118.59821759886108,23.310323709854856,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_203627_0334f1,86999,3785,0,389888,0,480672,25,0.012140568,,0.012140568,hermes_estimate,24,1,4,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/26__v4-flash-0731__ponytail__django__django-15731__r1,,ponytail,,97.79298996925354,8.106,7.966,12.699227629607543,3.9117195987701416,7.409583091735835,1.3649013710021973,102,0,True
baseline,django__django-16662,1,27,True,True,True,True,True,0,192.22880620602518,22.77711813012138,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_203908_6ec42e,25075,4890,0,567296,0,597261,31,0.006357554559999998,,0.006357554559999998,hermes_estimate,33,1,8,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/27__v4-1-flash__baseline__django__django-16662__r1,,baseline,,171.03163242340088,8.953,8.805,12.244173782624305,5.517149433012931,15.279232740402222,2.945984217428392,132,0,True
baseline__warning_0p05,django__django-13516,1,28,True,True,True,True,True,0,239.9774431970436,23.126298933988437,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_204302_61a492,49156,9066,0,601344,0,659566,36,0.017389983999999997,,0.017389983999999997,hermes_estimate,35,1,4,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/28__v4-flash-0731__baseline__django__django-13516__r1,,baseline,0.05,226.13504219055176,1.619,1.436,12.223401006491855,6.281528949737549,15.268870770931244,1.3993266820907593,146,0,True
ponytail__warning_0p05,django__django-15731,1,29,True,True,True,True,True,0,121.03831189800985,22.988070291932672,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_204744_efd797,23311,4181,0,530944,0,558436,30,0.005799619840000001,,0.005799619840000001,hermes_estimate,34,1,4,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/29__v4-1-flash__ponytail__django__django-15731__r1,,ponytail,0.05,99.9206907749176,8.193,8.04,12.92462112309225,3.3306896924972533,6.951932561397552,2.1606679519017535,132,0,True
ponytail,django__django-13516,1,30,True,True,True,True,True,0,109.14144839299843,22.55111691611819,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_205027_2e0268,46839,3084,0,266240,0,316163,19,0.00810716,,0.00810716,hermes_estimate,18,1,4,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/30__v4-flash-0731__ponytail__django__django-13516__r1,,ponytail,,96.46416234970093,0.733,0.699,11.944286043297499,5.077061176300049,14.424807333946188,2.9163431619343005,78,0,True
baseline__warning_0p1,django__django-15731,1,31,True,True,True,True,True,0,120.75893715792336,22.906881290953606,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_205257_a9c142,20948,3320,0,349696,0,373964,22,0.004636674559999999,,0.004636674559999999,hermes_estimate,28,1,4,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/31__v4-1-flash__baseline__django__django-15731__r1,,baseline,0.1,104.70638632774353,3.306,3.159,12.746550830179824,4.759381196715615,14.977045202255244,2.4745535417036577,104,0,True
baseline__warning_0p05,django__django-16662,1,32,True,True,True,True,True,0,140.50468240096234,22.182249722070992,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_205539_5d365e,22675,3575,0,453376,0,479626,26,0.00526414336,,0.00526414336,hermes_estimate,27,1,11,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/32__v4-1-flash__baseline__django__django-16662__r1,,baseline,0.05,103.77992105484009,24.458,24.329,12.266761346122252,3.9915354251861572,9.452215254306793,2.0440000662436852,110,0,True
baseline__warning_0p1,django__django-7530,1,33,False,True,True,True,True,0,419.90013048704714,23.6282388640102,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_205840_d84e49,46419,18702,1,1543168,0,1608289,56,0.038516728,,0.038516728,hermes_estimate,55,1,2,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/33__v4-flash-0731__baseline__django__django-7530__r1,reasoning was requested off but 1 reasoning tokens were reported,baseline,0.1,401.18863439559937,6.217,5.855,12.494496091447772,7.164082757064274,19.09162211418152,1.6557014669690813,226,0,True
baseline__warning_0p05,django__django-15731,1,34,True,True,True,True,True,0,69.97568754083477,22.63077503000386,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_210622_4aca57,20249,3677,0,361472,0,385398,22,0.008946792000000002,,0.008946792000000002,hermes_estimate,23,1,5,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/34__v4-flash-0731__baseline__django__django-15731__r1,,baseline,0.05,50.94036889076233,6.954000000000001,6.868,12.08131865007244,2.3154713132164697,3.7117325544357294,0.9494572227651422,94,0,True
ponytail,django__django-13516,1,35,True,True,True,True,True,0,316.17146095004864,22.862769269850105,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_210814_5e3da7,28013,6359,0,812800,0,847172,41,0.008005087999999999,,0.008005087999999999,hermes_estimate,41,1,3,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/35__v4-1-flash__ponytail__django__django-13516__r1,,ponytail,,181.93559622764587,121.175,29.494000000000003,13.06086472240277,4.437453566527948,10.349482536315918,2.5858354335877953,168,0,True
ponytail__warning_0p1,django__django-13516,1,36,True,True,True,True,True,0,174.50134600908495,23.862394507043064,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_211413_ca6872,29058,10705,0,1026816,0,1066579,46,0.024442576000000008,,0.024442576000000008,hermes_estimate,47,1,3,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/36__v4-flash-0731__ponytail__django__django-13516__r1,,ponytail,0.1,146.4511935710907,15.304,11.453,12.746152437994256,3.183721599371537,6.119144380092621,0.9709802917812181,190,0,True
baseline,django__django-16662,1,37,True,True,True,True,True,0,216.59260348509997,22.417577120941132,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_211750_93cd62,78498,7997,0,744960,0,831455,41,0.020177360000000002,,0.020177360000000002,hermes_estimate,42,1,7,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/37__v4-flash-0731__baseline__django__django-16662__r1,,baseline,,200.27456188201904,4.226,4.033,12.09204160308093,4.884745411756562,10.404673337936401,1.5297389437512654,170,0,True
ponytail__warning_0p1,pytest-dev__pytest-7571,1,38,True,True,True,True,True,0,160.15252196905203,21.81400916003622,pytest-dev/pytest,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_212206_f9c1cf,31634,8718,0,956416,0,996768,41,0.022147535999999992,,0.022147535999999992,hermes_estimate,40,2,17,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/38__v4-flash-0731__ponytail__pytest-dev__pytest-7571__r1,,ponytail,0.1,135.89808130264282,11.894,11.813,12.36044066640921,3.314587348844947,6.622950792312622,1.0504527033829107,166,0,True
ponytail,django__django-16662,1,39,True,True,True,True,True,0,135.3651897679083,22.624428448965773,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_212526_f4feb7,25384,3057,0,478464,0,506905,26,0.005477799040000002,,0.005477799040000002,hermes_estimate,27,1,3,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/39__v4-1-flash__ponytail__django__django-16662__r1,,ponytail,,114.85629391670227,8.832,8.714,11.676895851206034,4.41754976602701,11.147983074188232,2.7146581686460056,110,0,True
baseline__warning_0p05,django__django-15731,1,40,True,True,True,True,True,0,124.4706851800438,22.717826111940667,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_212824_356e8d,23768,3944,0,511744,0,539456,29,0.0057066598399999995,,0.0057066598399999995,hermes_estimate,32,1,4,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/40__v4-1-flash__baseline__django__django-15731__r1,,baseline,0.05,96.81011843681335,15.404,15.26,12.256566743230447,3.3382799460970123,6.55403733253479,2.202170996830381,126,0,True
ponytail__warning_0p05,django__django-16662,1,41,True,True,True,True,True,0,100.59930679597892,22.072381380945444,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_213108_728bec,24070,3981,0,410880,0,438931,22,0.005414012799999999,,0.005414012799999999,hermes_estimate,23,1,3,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/41__v4-1-flash__ponytail__django__django-16662__r1,,ponytail,0.05,80.19744777679443,8.629,8.513,11.772859019184486,3.645338535308838,8.433007156848907,2.2799719788811426,94,0,True
baseline__warning_0p05,django__django-7530,1,42,True,True,True,True,True,0,344.14562159311026,23.10855517606251,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_213329_08cea8,39748,23441,0,2378752,0,2441941,74,0.054652191999999995,,0.054652191999999995,hermes_estimate,73,1,4,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/42__v4-flash-0731__baseline__django__django-7530__r1,,baseline,0.05,323.1473262310028,8.406,8.146,12.592295362107455,4.366855759878416,12.60714875459671,0.9504007036621506,298,0,True
baseline__warning_0p1,django__django-13516,1,43,True,True,True,True,True,0,110.07261131913401,22.429511788999662,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_213955_5e05ad,49673,4142,0,265728,0,319543,20,0.008889448,,0.008889448,hermes_estimate,19,1,4,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/43__v4-flash-0731__baseline__django__django-13516__r1,,baseline,0.1,97.30798172950745,1.26,1.025,11.504629589626566,4.865399086475373,9.793587982654575,1.6842458367347717,82,0,True
baseline,pytest-dev__pytest-7571,1,44,True,True,True,True,True,0,112.98607764998451,21.385426410008222,pytest-dev/pytest,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_214224_f4d6af,35487,8031,0,846080,0,889598,33,0.020096599999999996,,0.020096599999999996,hermes_estimate,32,1,7,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/44__v4-flash-0731__baseline__pytest-dev__pytest-7571__r1,,baseline,,99.56310057640076,1.808,1.711,11.614977073583752,3.017063653830326,7.8970249652862545,0.8737663355740634,134,0,True
ponytail,django__django-15731,1,45,True,True,True,True,True,0,138.45346773206256,22.459816510090604,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_214456_94ad60,26497,5353,0,704512,0,736362,36,0.007133432320000001,,0.007133432320000001,hermes_estimate,40,1,5,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/45__v4-1-flash__ponytail__django__django-15731__r1,,ponytail,,102.03012824058533,24.099,24.026,12.324339491477236,2.834170228905148,5.88011234998703,1.6782462861802843,156,0,True
ponytail__warning_0p1,django__django-15731,1,46,True,True,True,True,True,0,1297.635429907823,22.452624187106267,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_214756_3390c5,158108,17291,0,3926528,0,4101927,109,0.03671100608000001,,0.03671100608000001,hermes_estimate,112,1,8,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/46__v4-1-flash__ponytail__django__django-15731__r1,,ponytail,0.1,448.9363362789154,834.917,669.059,13.782093628907546,4.118681984210233,9.27730574607849,2.6586521043689975,448,0,True
baseline,django__django-7530,1,47,True,True,True,True,True,0,204.9385357098654,23.23155931313522,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_221014_668a3a,31819,11880,0,935936,0,979635,41,0.023850935999999996,,0.023850935999999996,hermes_estimate,43,1,9,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/47__v4-flash-0731__baseline__django__django-7530__r1,,baseline,,189.3670449256897,3.517,3.406,12.054490784175695,4.6187084128217,11.023223876953125,1.087882094266938,172,0,True
baseline__warning_0p05,django__django-16662,1,48,True,True,True,True,True,0,328.4471887948457,22.030841483036056,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_221420_0c7b70,219658,8510,0,1061632,0,1289800,45,0.031218831999999995,,0.031218831999999995,hermes_estimate,45,1,18,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/48__v4-flash-0731__baseline__django__django-16662__r1,,baseline,0.05,307.1562795639038,9.277,9.109,12.013909230941907,6.825695101420084,16.371618700027458,2.0852222707536487,184,0,True
